dispnum3,styear,endyear,outcome,settle,maxdur,mindur,numa,numb,a_ccode,a_styear,a_endyear,a_revstate,a_revtype1,a_revtype2,a_milex,a_milper,a_irst,a_pec,a_tpop,a_upop,a_cinc,b_ccode,b_styear,b_endyear,b_revstate,b_revtype1,b_revtype2,b_milex,b_milper,b_irst,b_pec,b_tpop,b_upop,b_cinc,war_names
51,1950,1953,5,1,1130,1130,2,17,731,1950,1953,1,1,-9,-9,172.75,10.5,294.5,9023.25,494.75,0.002897,212,1951,1953,0,0,-9,7859.333333,3,2912.666667,1274,299,0,0.002637367,
51,1950,1953,5,1,1130,1130,2,17,710,1950,1953,0,0,-9,2724801.25,3269.5,1156.25,41413.5,580554.25,38235,0.1034045,212,1951,1953,0,0,-9,7859.333333,3,2912.666667,1274,299,0,0.002637367,
51,1950,1953,5,1,1130,1130,2,17,710,1950,1953,0,0,-9,2724801.25,3269.5,1156.25,41413.5,580554.25,38235,0.1034045,100,1951,1953,0,0,-9,67047.33333,17.33333333,0,3389.666667,11990,2263,0.002628133,
51,1950,1953,5,1,1130,1130,2,17,710,1950,1953,0,0,-9,2724801.25,3269.5,1156.25,41413.5,580554.25,38235,0.1034045,20,1950,1953,0,0,-9,1367849.25,78.25,3350,64456,14292.25,3299.75,0.0136409,
51,1950,1953,5,1,1130,1130,2,17,731,1950,1953,1,1,-9,-9,172.75,10.5,294.5,9023.25,494.75,0.002897,640,1950,1953,0,0,-9,244513,546,135.5,3156.25,21661.5,1797.25,0.0082073,
51,1950,1953,5,1,1130,1130,2,17,731,1950,1953,1,1,-9,-9,172.75,10.5,294.5,9023.25,494.75,0.002897,200,1950,1953,0,0,-9,3628903,813,16753.75,209563.5,50690.75,19067.75,0.05835595,
51,1950,1953,5,1,1130,1130,2,17,710,1950,1953,0,0,-9,2724801.25,3269.5,1156.25,41413.5,580554.25,38235,0.1034045,900,1950,1953,0,0,-9,322330.5,40,1552,18163.75,8513,4545.25,0.0068419,
51,1950,1953,5,1,1130,1130,2,17,731,1950,1953,1,1,-9,-9,172.75,10.5,294.5,9023.25,494.75,0.002897,100,1951,1953,0,0,-9,67047.33333,17.33333333,0,3389.666667,11990,2263,0.002628133,
51,1950,1953,5,1,1130,1130,2,17,731,1950,1953,1,1,-9,-9,172.75,10.5,294.5,9023.25,494.75,0.002897,732,1950,1953,1,1,-9,50363,286,1.75,980,20349,3387.75,0.0059635,
51,1950,1953,5,1,1130,1130,2,17,731,1950,1953,1,1,-9,-9,172.75,10.5,294.5,9023.25,494.75,0.002897,20,1950,1953,0,0,-9,1367849.25,78.25,3350,64456,14292.25,3299.75,0.0136409,
51,1950,1953,5,1,1130,1130,2,17,710,1950,1953,0,0,-9,2724801.25,3269.5,1156.25,41413.5,580554.25,38235,0.1034045,211,1951,1953,0,0,-9,351788.6667,81.33333333,4872.666667,32357,8728.666667,878,0.0087267,
53,1956,1956,5,3,2,2,1,1,710,1956,1956,0,0,-9,5539170,3130,4465,79681,617789,39045,0.0981378,2,1956,1956,0,0,-9,41773008,2806,104522,1492506,168903,48389,0.2606138,
55,1923,1923,3,1,30,30,1,1,325,1923,1923,1,1,-9,186033,311,1142,10524,38500,5518,0.0290861,350,1923,1923,0,0,-9,32837,79,0,385,6010,551,0.0043948,
56,1897,1897,4,2,182,182,6,2,365,1897,1897,1,2,-9,39486,928,1883,23095,126400,6401,0.107471,640,1897,1897,0,0,-9,5986,436,10,172,27627,826,0.0242576,
56,1897,1897,4,2,182,182,6,2,220,1897,1897,1,2,-9,37421,623,2484,41754,38700,4899,0.0869356,640,1897,1897,0,0,-9,5986,436,10,172,27627,826,0.0242576,
56,1897,1897,4,2,182,182,6,2,300,1897,1897,1,2,-9,16042,305,1308,17975,45379,2949,0.0465424,640,1897,1897,0,0,-9,5986,436,10,172,27627,826,0.0242576,
56,1897,1897,4,2,182,182,6,2,200,1897,1897,1,2,-9,35187,319,8937,170127,39987,12775,0.1658213,350,1897,1897,0,0,-9,924,25,0,133,2451,115,0.0021064,
56,1897,1897,4,2,182,182,6,2,325,1897,1897,1,2,-9,13849,247,8,4486,31720,3030,0.0308702,350,1897,1897,0,0,-9,924,25,0,133,2451,115,0.0021064,
56,1897,1897,4,2,182,182,6,2,325,1897,1897,1,2,-9,13849,247,8,4486,31720,3030,0.0308702,640,1897,1897,0,0,-9,5986,436,10,172,27627,826,0.0242576,
56,1897,1897,4,2,182,182,6,2,255,1897,1897,1,2,-9,39222,604,6009,102992,53549,7612,0.1322298,350,1897,1897,0,0,-9,924,25,0,133,2451,115,0.0021064,
56,1897,1897,4,2,182,182,6,2,200,1897,1897,1,2,-9,35187,319,8937,170127,39987,12775,0.1658213,640,1897,1897,0,0,-9,5986,436,10,172,27627,826,0.0242576,
56,1897,1897,4,2,182,182,6,2,220,1897,1897,1,2,-9,37421,623,2484,41754,38700,4899,0.0869356,350,1897,1897,0,0,-9,924,25,0,133,2451,115,0.0021064,
56,1897,1897,4,2,182,182,6,2,365,1897,1897,1,2,-9,39486,928,1883,23095,126400,6401,0.107471,350,1897,1897,0,0,-9,924,25,0,133,2451,115,0.0021064,
56,1897,1897,4,2,182,182,6,2,255,1897,1897,1,2,-9,39222,604,6009,102992,53549,7612,0.1322298,640,1897,1897,0,0,-9,5986,436,10,172,27627,826,0.0242576,
56,1897,1897,4,2,182,182,6,2,300,1897,1897,1,2,-9,16042,305,1308,17975,45379,2949,0.0465424,350,1897,1897,0,0,-9,924,25,0,133,2451,115,0.0021064,
57,1853,1856,2,1,1035,1035,1,5,365,1853,1856,1,2,-9,32248.75,1352.75,244.75,154.75,70850,1083.25,0.147405225,200,1853,1856,0,0,-9,38589.5,289.5,3233.25,70782.25,27758.25,4998.75,0.30418765,
57,1853,1856,2,1,1035,1035,1,5,365,1853,1856,1,2,-9,32248.75,1352.75,244.75,154.75,70850,1083.25,0.147405225,220,1853,1856,0,0,-9,32042.25,538.5,801,11356,36142.5,2019,0.13578285,
